,Country/Region,variable,value
426,Russia,3/4/20,3
427,Singapore,3/4/20,110
428,US,3/4/20,107
429,United Kingdom,3/4/20,246
430,Australia,3/5/20,55
431,Canada,3/5/20,71
432,China,3/5/20,80537
433,Germany,3/5/20,349
434,"Korea, South",3/5/20,6088
435,Malaysia,3/5/20,55
436,Russia,3/5/20,4
437,Singapore,3/5/20,117
438,US,3/5/20,184
439,United Kingdom,3/5/20,295
440,Australia,3/6/20,60
441,Canada,3/6/20,90
442,China,3/6/20,80690
443,Germany,3/6/20,534
444,"Korea, South",3/6/20,6593
445,Malaysia,3/6/20,83
446,Russia,3/6/20,13
447,Singapore,3/6/20,130
448,US,3/6/20,237
449,United Kingdom,3/6/20,374
450,Australia,3/7/20,63
451,Canada,3/7/20,98
452,China,3/7/20,80770
453,Germany,3/7/20,684
454,"Korea, South",3/7/20,7041
455,Malaysia,3/7/20,93
456,Russia,3/7/20,13
457,Singapore,3/7/20,138
458,US,3/7/20,403
459,United Kingdom,3/7/20,429
460,Australia,3/8/20,76
461,Canada,3/8/20,120
462,China,3/8/20,80823
463,Germany,3/8/20,847
464,"Korea, South",3/8/20,7314
465,Malaysia,3/8/20,99
466,Russia,3/8/20,17
467,Singapore,3/8/20,150
468,US,3/8/20,519
469,United Kingdom,3/8/20,483
470,Australia,3/9/20,91
471,Canada,3/9/20,144
472,China,3/9/20,80860
473,Germany,3/9/20,1112
474,"Korea, South",3/9/20,7478
475,Malaysia,3/9/20,117
476,Russia,3/9/20,17
477,Singapore,3/9/20,150
478,US,3/9/20,594
479,United Kingdom,3/9/20,630
480,Australia,3/10/20,107
481,Canada,3/10/20,165
482,China,3/10/20,80887
483,Germany,3/10/20,1296
484,"Korea, South",3/10/20,7513
485,Malaysia,3/10/20,129
486,Russia,3/10/20,20
487,Singapore,3/10/20,160
488,US,3/10/20,782
489,United Kingdom,3/10/20,888
490,Australia,3/11/20,128
491,Canada,3/11/20,228
492,China,3/11/20,80921
493,Germany,3/11/20,1567
494,"Korea, South",3/11/20,7755
495,Malaysia,3/11/20,149
496,Russia,3/11/20,20
497,Singapore,3/11/20,178
498,US,3/11/20,1147
499,United Kingdom,3/11/20,1299
500,Australia,3/12/20,128
501,Canada,3/12/20,289
502,China,3/12/20,80932
503,Germany,3/12/20,2369
504,"Korea, South",3/12/20,7869
505,Malaysia,3/12/20,158
506,Russia,3/12/20,28
507,Singapore,3/12/20,178
508,US,3/12/20,1586
509,United Kingdom,3/12/20,1788
510,Australia,3/13/20,200
511,Canada,3/13/20,386
512,China,3/13/20,80945
513,Germany,3/13/20,3062
514,"Korea, South",3/13/20,7979
515,Malaysia,3/13/20,197
